Exchange Date,Close
20-Jun-05,11.47
21-Jun-05,11.08
22-Jun-05,11.05
23-Jun-05,12.13
24-Jun-05,12.18
27-Jun-05,12.52
28-Jun-05,11.58
29-Jun-05,11.77
30-Jun-05,12.04
01-Jul-05,11.4
05-Jul-05,11.68
06-Jul-05,12.27
07-Jul-05,12.49
08-Jul-05,11.45
11-Jul-05,11.28
12-Jul-05,10.95
13-Jul-05,10.84
14-Jul-05,10.81
15-Jul-05,10.33
18-Jul-05,10.77
19-Jul-05,10.45
20-Jul-05,10.23
21-Jul-05,10.97
22-Jul-05,10.52
25-Jul-05,11.1
26-Jul-05,10.99
27-Jul-05,10.36
28-Jul-05,10.52
29-Jul-05,11.57
01-Aug-05,12.08
02-Aug-05,11.75
03-Aug-05,11.83
04-Aug-05,12.52
05-Aug-05,12.48
08-Aug-05,13.21
09-Aug-05,12.4
10-Aug-05,12.38
11-Aug-05,12.42
12-Aug-05,12.74
15-Aug-05,12.26
16-Aug-05,13.52
17-Aug-05,13.3
18-Aug-05,13.42
19-Aug-05,13.42
22-Aug-05,13.42
23-Aug-05,13.34
24-Aug-05,14.17
25-Aug-05,13.73
26-Aug-05,13.72
29-Aug-05,13.52
30-Aug-05,13.65
31-Aug-05,12.6
01-Sep-05,13.15
02-Sep-05,13.57
06-Sep-05,12.93
07-Sep-05,12.52
08-Sep-05,12.93
09-Sep-05,11.98
12-Sep-05,11.65
13-Sep-05,12.39
14-Sep-05,12.91
15-Sep-05,12.49
16-Sep-05,11.22
19-Sep-05,12.14
20-Sep-05,12.64
21-Sep-05,13.79
22-Sep-05,13.33
23-Sep-05,12.96
26-Sep-05,13.04
27-Sep-05,12.76
28-Sep-05,12.63
29-Sep-05,12.24
30-Sep-05,11.92
03-Oct-05,12.46
04-Oct-05,13.2
05-Oct-05,14.55
06-Oct-05,14.96
07-Oct-05,14.59
10-Oct-05,15.55
11-Oct-05,15.63
12-Oct-05,16.22
13-Oct-05,16.47
14-Oct-05,14.87
17-Oct-05,14.67
18-Oct-05,15.33
19-Oct-05,13.5
20-Oct-05,16.11
21-Oct-05,16.13
24-Oct-05,14.74
25-Oct-05,14.53
26-Oct-05,14.59
27-Oct-05,16.02
28-Oct-05,14.25
31-Oct-05,15.32
01-Nov-05,14.85
02-Nov-05,13.48
03-Nov-05,13
04-Nov-05,13.17
07-Nov-05,13.1
08-Nov-05,13.08
09-Nov-05,12.8
10-Nov-05,11.9
11-Nov-05,11.63
14-Nov-05,12.18
15-Nov-05,12.23
16-Nov-05,12.26
17-Nov-05,11.25
18-Nov-05,11.12
21-Nov-05,10.82
22-Nov-05,10.6
23-Nov-05,10.96
25-Nov-05,10.88
28-Nov-05,11.84
29-Nov-05,11.89
30-Nov-05,12.06
01-Dec-05,11.24
02-Dec-05,11.01
05-Dec-05,11.6
06-Dec-05,11.52
07-Dec-05,12.18
08-Dec-05,12.21
09-Dec-05,11.69
12-Dec-05,11.47
13-Dec-05,11.11
14-Dec-05,10.48
15-Dec-05,10.73
16-Dec-05,10.68
19-Dec-05,11.38
20-Dec-05,11.19
